Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
PUNO,GANA PERU,PARTIDO POLÍTICO,"364,235",62.71%,2011
PUNO,FUERZA 2011,PARTIDO POLÍTICO,"90,749",15.62%,2011
PUNO,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"51,566",8.88%,2011
PUNO,PERÚ POSIBLE,ALIANZA ELECTORAL,"42,442",7.31%,2011
PUNO,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"23,775",4.09%,2011
PUNO,DESPERTAR NACIONAL,PARTIDO POLÍTICO,"2,258",0.39%,2011
PUNO,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"2,016",0.35%,2011
PUNO,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,"1,179",0.20%,2011
PUNO,FUERZA NACIONAL,PARTIDO POLÍTICO,"1,026",0.18%,2011
PUNO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,849,0.15%,2011
PUNO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,756,0.13%,2011
SAN MARTIN,GANA PERU,PARTIDO POLÍTICO,"111,844",36.09%,2011
SAN MARTIN,FUERZA 2011,PARTIDO POLÍTICO,"106,821",34.46%,2011
SAN MARTIN,PERÚ POSIBLE,ALIANZA ELECTORAL,"49,531",15.98%,2011
SAN MARTIN,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"23,747",7.66%,2011
SAN MARTIN,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"15,679",5.06%,2011
SAN MARTIN,DESPERTAR NACIONAL,PARTIDO POLÍTICO,818,0.26%,2011
SAN MARTIN,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,423,0.14%,2011
SAN MARTIN,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,398,0.13%,2011
SAN MARTIN,FUERZA NACIONAL,PARTIDO POLÍTICO,303,0.10%,2011
SAN MARTIN,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,239,0.08%,2011
SAN MARTIN,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,146,0.05%,2011
TACNA,GANA PERU,PARTIDO POLÍTICO,"102,307",57.20%,2011
TACNA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"32,600",18.23%,2011
TACNA,FUERZA 2011,PARTIDO POLÍTICO,"18,248",10.20%,2011
TACNA,PERÚ POSIBLE,ALIANZA ELECTORAL,"13,044",7.29%,2011
TACNA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"11,688",6.54%,2011
TACNA,FUERZA NACIONAL,PARTIDO POLÍTICO,239,0.13%,2011
TACNA,DESPERTAR NACIONAL,PARTIDO POLÍTICO,201,0.11%,2011
TACNA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,175,0.10%,2011
TACNA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,160,0.09%,2011
TACNA,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,102,0.06%,2011
TACNA,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,92,0.05%,2011
TUMBES,FUERZA 2011,PARTIDO POLÍTICO,"37,623",35.52%,2011
TUMBES,GANA PERU,PARTIDO POLÍTICO,"29,500",27.85%,2011
TUMBES,PERÚ POSIBLE,ALIANZA ELECTORAL,"22,961",21.68%,2011
TUMBES,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"9,456",8.93%,2011
TUMBES,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"5,924",5.59%,2011
TUMBES,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,158,0.15%,2011
TUMBES,DESPERTAR NACIONAL,PARTIDO POLÍTICO,143,0.14%,2011
TUMBES,FUERZA NACIONAL,PARTIDO POLÍTICO,51,0.05%,2011
TUMBES,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,42,0.04%,2011
TUMBES,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,36,0.03%,2011
TUMBES,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,19,0.02%,2011
CALLAO,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"148,890",28.61%,2011
CALLAO,FUERZA 2011,PARTIDO POLÍTICO,"113,670",21.84%,2011
CALLAO,GANA PERU,PARTIDO POLÍTICO,"112,051",21.53%,2011
CALLAO,PERÚ POSIBLE,ALIANZA ELECTORAL,"86,030",16.53%,2011
CALLAO,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"54,735",10.52%,2011
CALLAO,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"2,872",0.55%,2011
CALLAO,FUERZA NACIONAL,PARTIDO POLÍTICO,704,0.14%,2011
CALLAO,DESPERTAR NACIONAL,PARTIDO POLÍTICO,476,0.09%,2011
CALLAO,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,427,0.08%,2011
CALLAO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,387,0.07%,2011
CALLAO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,219,0.04%,2011
UCAYALI,GANA PERU,PARTIDO POLÍTICO,"70,194",39.15%,2011
UCAYALI,FUERZA 2011,PARTIDO POLÍTICO,"55,610",31.02%,2011
UCAYALI,PERÚ POSIBLE,ALIANZA ELECTORAL,"28,135",15.69%,2011
UCAYALI,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"16,047",8.95%,2011
UCAYALI,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"7,848",4.38%,2011
UCAYALI,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,607,0.34%,2011
UCAYALI,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,241,0.13%,2011
UCAYALI,DESPERTAR NACIONAL,PARTIDO POLÍTICO,190,0.11%,2011
UCAYALI,FUERZA NACIONAL,PARTIDO POLÍTICO,171,0.10%,2011
UCAYALI,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,145,0.08%,2011
UCAYALI,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,99,0.06%,2011
EXTRANJERO,FUERZA 2011,PARTIDO POLÍTICO,"88,487",28.63%,2011
